0,-100241.0,-100241.00,0
1,-104846.0,-100701.50,0
2,-101640.0,-100795.35,0
3,-123753.0,-103091.12,0
4,-93906.0,-102172.60,0
5,-88196.0,-100774.94,0
6,-99911.0,-100688.55,0
7,-104885.0,-101108.19,0
8,-117670.0,-102764.37,0
9,-105951.0,-103083.04,200
10,-97330.0,-102507.73,200
11,-95236.0,-101780.56,200
12,-101563.0,-101758.80,200
13,-98386.0,-101421.52,200
14,-91432.0,-100422.57,200
15,-109343.0,-101314.61,200
16,-103517.0,-101534.85,200
17,-110304.0,-102411.77,200
18,-106526.0,-102823.19,200
19,-104142.0,-102955.07,400
20,-69505.0,-99610.06,400
21,-109687.0,-100617.76,400
22,-96102.0,-100166.18,400
23,-82352.0,-98384.76,400
24,-104474.0,-98993.69,400
25,-99259.0,-99020.22,400
26,-93345.0,-98452.70,400
27,-79518.0,-96559.23,400
28,-92448.0,-96148.10,400
29,-96446.0,-96177.89,600
30,-80202.0,-94580.30,600
31,-93646.0,-94486.87,600
32,-90412.0,-94079.39,600
33,-85614.0,-93232.85,600
34,-104225.0,-94332.06,600
35,-87657.0,-93664.56,600
36,-100156.0,-94313.70,600
37,-81014.0,-92983.73,600
38,-89283.0,-92613.66,600
39,-97785.0,-93130.79,800
40,-94724.0,-93290.11,800
41,-78345.0,-91795.60,800
42,-82081.0,-90824.14,800
43,-78137.0,-89555.43,800
44,-89450.0,-89544.88,800
45,-88334.0,-89423.80,800
46,-86915.0,-89172.92,800
47,-92451.0,-89500.72,800
48,-91181.0,-89668.75,800
49,-78379.0,-88539.78,1000
50,-96789.0,-89364.70,1000
51,-87378.0,-89166.03,1000
52,-76638.0,-87913.23,1000
53,-75599.0,-86681.80,1000
54,-79637.0,-85977.32,1000
55,-63023.0,-83681.89,1000
56,-82470.0,-83560.70,1000
57,-87468.0,-83951.43,1000
58,-66381.0,-82194.39,1000
59,-71357.0,-81110.65,1200
60,-95554.0,-82554.98,1200
61,-73895.0,-81688.99,1200
